No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421,ls_prob
5235407,Tree,1,35.68034744,15.791557931129583,0,18.8650787489154,99.3488852757697,406.661745,7974.017199,8930.705247,0.0
5235408,Tree,1,35.68034744,15.79967066809191,0,18.8650786566009,99.3489345227566,401.6056224,7973.877466,8931.682585,0.0
5235409,Tree,1,35.68034744,15.809165436275606,0,18.8650785486987,99.3489920764638,395.7010358,7973.718441,8932.828461,0.0
5235410,Tree,1,36.51644135,15.817006997612546,0,18.8650784596938,99.3490395434386,390.8349664,7973.590755,8933.776501,0.0
5235411,Tree,1,35.84273529,15.834685209163013,0,18.8650782593886,99.3491463441308,379.8992123,7973.314927,8935.91946,0.0
5235412,Tree,1,36.51644135,15.826822392598965,0,18.8650783484207,99.3490988771566,384.7572793,7973.435557,8934.965347,0.0
5235413,Tree,1,34.03610611,15.852409431064917,0,18.8650780590221,99.3492531448216,368.9826164,7973.054975,8938.076075,0.0
5235414,Tree,1,35.84273529,15.844526489513033,0,18.8650781480815,99.349205677848,373.8319641,7973.168549,8937.115894,0.0
5235415,Tree,1,30.73752594,15.87017685996694,0,18.8650778585943,99.349359945511,358.086931,7972.810902,8940.246338,0.0
5235416,Tree,1,34.03610611,15.862275086001295,0,18.8650779476809,99.3493124785381,362.9267557,7972.917419,8939.280093,0.0
5235417,Tree,1,30.73752594,15.878383303805473,0,18.8650777661542,99.3494091924952,353.0703886,7972.703706,8941.251665,0.0
5235418,Tree,1,27.96152496,15.895910595455986,0,18.8650775689794,99.3495142131712,342.3896803,7972.486385,8943.405235,0.0
5235419,Tree,1,30.73752594,15.88798428730306,0,18.8650776581053,99.3494667461992,347.2141246,7972.582707,8942.430238,0.0
5235420,Tree,1,27.96152496,15.905828035333712,0,18.865077457555,99.349573546886,336.3664159,7972.370394,8944.627765,0.0
5235421,Tree,1,28.84674644,15.913769166250423,0,18.8650773684018,99.3496210138574,331.5539125,7972.28113,8945.608816,0.0
5235422,Tree,1,28.84674644,15.923703881790368,0,18.8650772569433,99.3496803475714,325.5463136,7972.173963,8946.83891,0.0
5235423,Tree,1,28.95016861,15.931657760516424,0,18.865077167763,99.3497278145423,320.7469716,7972.091758,8947.826009,0.0
5235424,Road,1,28.26190567,15.951967389553998,0,18.8651177251721,99.3498346981026,308.6772565,7967.407218,8954.478288,0.0
5235425,Tree,1,28.26190567,15.949304690589653,0,18.8650725369425,99.3498346062176,310.1162175,7972.408589,8949.576226,0.0
5235426,Road,1,28.95016861,15.948271493669363,0,18.8651184001373,99.3498125520144,310.898717,7967.371812,8954.083507,0.0
5235427,Tree,1,28.95016861,15.941318110261184,0,18.8650752734619,99.3497860528082,314.9239698,7972.192724,8948.847205,0.0
5235428,Road,1,28.26190567,15.960075320458122,0,18.8651179667363,99.3498826776279,303.8169101,7967.297692,8955.520357,0.0
5235429,Tree,1,28.26190567,15.957609636250284,0,18.865072785527,99.3498839800811,305.1376889,7972.295976,8950.649186,0.0
5235430,Road,1,27.62981224,15.9778922111164,0,18.8651184970243,99.3499880121481,293.1696908,7967.068489,8957.817706,0.0
5235431,Tree,1,27.62981224,15.975278670136252,0,18.8650733139941,99.3499889528992,294.5787097,7972.067829,8952.940007,0.0
5235432,Road,1,28.26190567,15.97001188846927,0,18.8651182625647,99.3499414384693,297.8732847,7967.167925,8956.800309,0.0
5235433,Tree,1,28.26190567,15.967275144917089,0,18.8650730746747,99.3499414139008,299.356051,7972.169249,8951.900943,0.0
5235434,Road,1,27.62981224,15.987071092280994,0,18.8651193263779,99.3500420342212,287.7040149,7966.895241,8959.061451,0.0
5235435,Tree,1,27.62981224,15.985371662812806,0,18.8650746398535,99.3500484949953,288.5705277,7971.831669,8954.35642,0.0
5235436,Road,1,27.92780876,15.992051110619752,0,18.8651216419717,99.3500706543132,284.7495696,7966.597444,8959.925107,0.0
5235437,Tree,1,27.92780876,15.993424855068737,0,18.8650764750042,99.3500956842226,283.7893668,7971.561193,8955.566946,0.0
5235438,Tree,1,27.92780876,16.003396010668478,0,18.8650763645948,99.3501550172681,277.8746178,7971.493116,8956.830704,0.0
5235439,Tree,1,29.26439667,16.011371861661928,0,18.8650762752934,99.3502024842363,273.1536275,7971.44229,8957.844632,0.0
5235440,Tree,1,29.26439667,16.021338795205182,0,18.8650761636496,99.3502618179462,267.2667618,7971.383172,8959.115808,0.0
5235441,Tree,1,31.46172714,16.029308829130166,0,18.8650760743209,99.3503092849138,262.5694371,7971.339407,8960.13576,0.0
5235442,Tree,1,31.46172714,16.03757319912426,0,18.8650759816296,99.3503585318924,257.7080797,7971.297319,8961.196788,0.0
5235443,Tree,1,31.46172714,16.047223984845093,0,18.8650758732871,99.3504160855899,252.0433167,7971.252412,8962.440434,0.0
5235444,Tree,1,33.12579346,16.055175749914792,0,18.8650757839191,99.3504635525566,247.385621,7971.218848,8963.469079,0.0
5235445,Tree,1,33.12579346,16.06510352569313,0,18.8650756721921,99.3505228862647,241.5828571,7971.181306,8964.758644,0.0
5235446,Tree,1,33.61718369,16.073034406097374,0,18.8650755827969,99.3505703532308,236.9571111,7971.154804,8965.793302,0.0
5235447,Tree,1,33.3460083,16.090832957018545,0,18.8650753816133,99.3506771539036,226.6076378,7971.106649,8968.131046,0.0
5235448,Tree,1,33.61718369,16.082931161587656,0,18.8650754710358,99.3506296869381,231.1969656,7971.126089,8967.09038,0.0
5235449,Bare Soil,1,31.83891678,16.10855052415789,0,18.8650751803685,99.3507839545751,216.3485374,7971.074384,8970.4823,0.0
5235450,Bare Soil,1,33.3460083,16.100687540853063,0,18.8650752698182,99.3507364876102,220.8961719,7971.086762,8969.435631,0.0
5235451,Bare Soil,1,31.83891678,16.116686290047483,0,18.8650750875516,99.350833201551,211.652032,7971.064858,8971.571038,0.0
5235452,Grass,1,29.00559235,16.133947931912463,0,18.8650748895734,99.3509382222093,201.7173081,7971.055831,8973.902386,0.0
5235453,Grass,1,31.83891678,16.12616216118008,0,18.8650749790624,99.3508907552452,206.1932998,7971.058008,8972.847054,0.0
5235454,Grass,1,26.63822556,16.151352141004175,0,18.8650746881788,99.3510450228775,191.7414013,7971.062407,8976.286621,0.0
5235455,Grass,1,29.00559235,16.14363792981505,0,18.865074777695,99.350997555914,196.1580566,7971.057522,8975.225297,0.0
5235456,Tree,1,25.94852829,16.168565972662066,0,18.8650744867229,99.3511518235443,181.9147509,7971.084874,8978.684329,0.0
5235457,Tree,1,26.63822556,16.16094172273912,0,18.8650745762664,99.3511043565814,186.2622038,7971.072927,8977.617018,0.0
5235458,Tree,1,25.94852829,16.178029783586346,0,18.8650743747764,99.3512111572475,176.5291847,7971.104221,8980.022207,0.0
5235459,Tree,1,27.41360664,16.185541698670473,0,18.8650742852057,99.3512586242098,172.2629018,7971.12323,8981.0955,0.0
5235460,Tree,1,27.41360664,16.193273550992217,0,18.8650741922633,99.3513078711828,167.8795642,7971.146269,8982.21185,0.0
5235461,Tree,1,27.41360664,16.202221111686367,0,18.8650740836273,99.3513654248739,162.8169436,7971.177475,8983.520122,0.0
5235462,Tree,1,36.33548737,16.20952098638503,0,18.8650739940172,99.3514128918352,158.6944737,7971.206685,8984.602048,0.0
